#n_killed,n_injured,latitude,longitude,gun_involved,district
0,0,34.9577,81.0184,0,46
0,0,35.1829,101.878,0,87
0,0,36.1417,86.7766,0,58
0,0,33.194,117.235,0,76
0,0,39.731,121.896,0,3
0,1,29.2869,94.815,0,23
0,0,31.7901,106.522,0,77
0,1,47.4631,122.337,0,34
0,1,40.6623,73.8948,0,60
0,1,38.0551,84.4827,0,0
0,0,30.2093,97.6529,0,51
0,1,27.7673,82.6907,0,70
0,1,28.436,81.3928,0,48
0,0,45.5867,122.587,0,44
0,1,26.6293,80.135,0,87
0,0,30.4191,83.2815,0,7
0,0,43.6539,70.3095,0,117
0,1,30.7525,86.5674,0,4
0,1,30.2842,81.7954,0,15
0,0,32.1217,110.935,0,2
0,1,33.5011,88.377,0,41
0,1,32.5453,117.045,0,80
1,0,32.3262,90.891,0,55
0,0,38.2368,85.6594,0,0
0,0,39.1141,94.6275,0,32
0,0,40.0356,74.8256,0,7
1,0,40.6181,105.036,0,52
0,2,37.5738,77.5384,0,68
0,1,30.0711,89.9438,0,100
0,1,35.1097,85.1536,0,26
0,1,43.378,83.9454,0,95
1,0,39.1452,84.4743,0,31
0,1,42.3798,85.4515,0,63
0,1,35.9283,94.9833,1,4
1,0,39.9658,79.6671,0,0
0,0,32.8982,97.0404,1,98
1,0,32.7938,96.8066,0,108
0,0,37.0638,76.4601,0,94
0,0,26.5821,81.7123,0,79
0,0,37.7468,84.2958,0,0
1,0,29.3582,99.1285,0,53
0,1,30.6748,95.5269,0,18
0,1,41.6101,93.6605,0,36
0,1,41.3318,72.9352,0,93
0,1,42.4071,83.1929,0,8
1,0,39.925,75.104,0,5
1,0,38.127,81.5783,0,23
0,2,36.0226,115.067,0,22
1,0,31.5656,91.3918,0,94
0,0,30.4102,91.1754,0,68
0,1,32.5543,84.9507,0,134
1,0,34.767,86.6015,0,19
0,1,35.9891,78.9192,0,29
0,1,29.8109,95.5024,0,148
0,0,29.7752,95.3102,0,143
1,3,40.6775,73.7629,0,32
0,1,38.2515,85.803,0,0
0,1,29.9551,90.0747,0,93
0,1,30.6748,95.5269,0,18
0,0,41.4993,81.6944,0,10
0,1,30.4379,91.0467,0,101
0,0,39.0709,76.7127,0,21
0,1,40.0191,82.8698,0,19
0,0,42.2615,89.0808,0,67
1,0,30.5458,92.0865,0,40
0,0,42.2623,89.1076,0,67
0,0,29.8351,95.6488,0,138
0,0,41.6524,83.6647,0,44
0,1,31.3112,89.312,0,103
1,0,44.9815,124.008,0,10
0,1,39.9209,75.1722,0,0
0,1,32.3651,88.7015,0,82
0,0,39.7844,75.479,1,7
0,0,38.9414,77.1008,0,0
0,0,38.8238,76.999,0,0
0,0,38.9337,77.0328,0,0
0,0,38.8294,77.0002,0,0
0,0,46.8713,96.9041,0,13
0,2,34.0518,88.5213,0,20
0,1,38.8507,76.9565,0,26
0,1,29.9551,90.0747,0,93
0,0,40.7332,74.0052,0,66
1,0,39.5424,119.755,0,30
0,1,41.604,93.6584,0,36
0,0,41.2415,95.989,0,0
1,0,36.1261,80.2189,0,72
1,0,39.5481,89.2948,1,95
1,0,31.678,89.1448,0,80
0,0,39.2898,76.6455,0,0
0,0,40.8371,73.1566,0,8
1,0,42.4168,83.2812,0,9
0,1,33.4484,112.074,0,27
0,0,29.4037,94.9144,0,23
0,1,33.8262,88.8767,0,22
0,1,47.7157,117.411,0,6
0,1,35.6277,77.5696,0,8
0,1,39.8278,88.9418,0,96
1,0,47.6077,122.176,0,41
0,1,42.3999,83.184,0,8
1,0,46.0231,118.428,0,16
1,0,46.6504,120.517,0,15
1,0,39.3074,76.6624,0,40
1,0,38.3197,81.5789,0,36
0,1,37.8259,81.9983,0,24
0,2,33.1626,117.218,0,76
0,1,36.3196,119.346,0,26
0,0,33.672,112.204,0,22
0,1,34.7256,92.3089,0,34
0,1,36.7745,119.83,0,23
1,0,46.2291,119.098,0,16
0,0,45.3173,122.77,0,26
0,0,40.6766,73.8617,0,0
1,0,40.011,75.0964,0,0
1,1,44.9632,124.01,0,10
0,0,35.6681,105.988,0,46
0,1,42.7356,73.6848,1,108
0,0,33.5988,101.862,0,84
0,0,36.6773,76.9234,0,75
0,1,37.2842,120.323,0,21
0,1,32.5453,93.7706,0,4
1,0,29.9452,90.0377,0,102
0,1,41.5942,93.6607,0,41
1,2,32.8631,97.2563,0,91
1,0,45.8237,108.399,0,0
0,1,34.6306,98.4222,0,64
0,1,42.5067,96.396,0,14
0,0,35.5928,82.5465,0,114
0,1,34.7256,92.3089,0,34
0,0,36.1263,86.6774,0,52
1,0,45.8234,108.398,0,0
0,0,32.4802,93.8657,0,4
0,0,35.6116,77.4908,0,8
0,1,37.3382,121.886,0,27
0,0,29.9499,90.118,0,91
0,1,41.7028,87.5596,0,33
1,0,46.5436,120.756,0,14
1,0,39.9612,82.9988,0,18
0,0,26.2272,80.2713,0,97
1,1,44.9776,93.0254,0,0
0,0,36.7251,76.6347,0,76
0,0,38.5404,85.7651,0,73
1,0,29.4786,98.4954,0,123
0,0,36.4302,84.0207,0,36
0,0,32.7487,97.2564,0,95
1,0,38.272,122.024,0,11
0,0,42.2162,83.3554,0,22
1,1,35.58,97.5313,0,99
1,0,41.6873,87.6303,0,28
0,0,33.159,80.042,0,100
1,1,25.6302,80.3757,0,117
1,1,30.278,81.7241,0,15
0,1,33.2349,111.542,1,16
0,0,25.5514,80.4047,0,120
1,0,44.3123,84.0045,0,103
0,1,35.1125,90.0057,0,86
0,0,39.9869,76.6783,0,0
1,0,43.6645,84.1747,1,99
0,1,34.0886,80.9737,1,77
0,1,34.0447,81.1159,0,72
1,0,36.1841,80.2164,0,74
0,0,41.0382,85.1157,0,80
0,1,41.2445,76.9932,0,0
0,2,38.0486,84.4843,0,0
1,1,47.6792,117.404,0,3
0,0,31.5343,89.1706,0,89
0,0,42.2472,71.8152,0,0
0,1,39.2817,76.6513,0,40
0,2,32.524,92.0626,0,16
0,0,34.6254,78.5962,0,22
0,1,41.9677,91.7353,0,70
0,0,32.4802,93.8657,0,4
0,0,39.3173,76.6077,0,43
1,0,44.953,89.6394,0,85
0,0,39.3011,76.6403,0,0
0,1,32.5453,93.7706,0,4
0,0,30.7435,86.2009,0,5
0,0,41.4891,87.0511,0,4
0,2,33.4065,91.0282,0,50
0,0,29.8257,95.2082,0,142
0,0,38.8427,76.9479,0,24
0,1,43.1494,77.631,0,137
0,1,35.049,106.638,0,10
0,0,34.5758,93.1685,0,18
0,1,40.6988,73.9951,0,52
0,0,27.5157,99.4865,0,42
0,0,40.6108,75.48,0,0
1,2,41.781,89.6937,0,71
1,0,37.0354,76.3594,0,92
0,0,40.5334,122.385,0,1
1,0,41.3275,72.9352,0,93
0,1,40.7493,74.1914,0,29
0,0,41.6373,83.626,0,44
0,0,30.5658,96.2982,0,14
1,0,39.855,86.0417,0,95
1,0,40.0264,75.1371,0,0
0,1,36.4655,82.9036,0,9
0,1,34.6766,86.7607,0,10
0,0,31.5658,93.4913,0,24
0,0,39.8406,89.5717,0,87
1,0,41.3753,81.752,0,14
0,0,36.7249,86.5614,0,0
0,0,30.3617,90.0616,0,89
0,1,30.0089,91.8401,0,96
0,2,26.8187,80.6615,0,81
1,1,40.6693,73.9136,0,55
0,0,35.791,86.3495,0,48
0,0,34.6815,86.5724,0,20
0,0,40.8416,75.2961,0,0
1,0,41.4506,81.611,0,11
1,0,38.0426,84.533,0,0
0,1,32.94,96.7658,0,102
1,0,39.2956,95.026,0,42
1,0,40.9262,74.1587,0,35
0,1,40.5433,74.5905,0,16
0,0,41.6826,71.5611,0,29
1,0,33.9111,118.239,0,64
0,0,32.501,92.1181,0,17
0,1,40.6219,74.427,0,22
0,1,30.2921,81.6261,0,13
1,0,35.2494,81.3341,0,111
0,4,33.8099,84.3911,0,55
0,0,40.4952,74.4557,0,17
1,1,30.2711,81.7624,0,14
1,0,30.0138,90.1353,0,94
0,1,40.3612,80.6253,0,96
0,1,41.8917,87.7235,0,10
0,1,33.3015,80.7443,0,66
